amount,term,month,age,bad,month_le,education_Bachelor,education_High School or Below,education_Master or Above,education_college,gender_female,gender_male
1000,30,June,45,0,6,0,1,0,0,0,1
1000,30,July,50,0,5,1,0,0,0,1,0
1000,30,August,33,0,1,1,0,0,0,1,0
1000,15,September,27,0,11,0,0,0,1,0,1
1000,30,October,28,0,10,0,0,0,1,1,0
300,7,July,35,0,5,0,0,1,0,0,1
1000,30,September,29,0,11,0,0,0,1,0,1
1000,30,May,36,0,8,0,0,0,1,0,1
1000,30,May,28,0,8,0,0,0,1,0,1
800,15,April,26,0,0,0,0,0,1,0,1
300,7,April,29,0,0,0,0,0,1,0,1
1000,15,September,39,0,11,0,1,0,0,0,1
1000,30,December,26,0,2,0,0,0,1,0,1
900,7,May,26,0,8,0,0,0,1,1,0
1000,7,May,27,0,8,0,1,0,0,0,1
800,15,July,26,0,5,0,0,0,1,0,1
1000,30,July,40,0,5,0,1,0,0,0,1
1000,15,January,32,0,4,0,1,0,0,0,1
1000,30,August,32,0,1,0,1,0,0,0,1
800,30,April,26,0,0,0,0,0,1,0,1
1000,30,July,26,0,5,0,0,0,1,0,1
1000,30,May,43,0,8,0,1,0,0,1,0
1000,30,October,25,0,10,0,1,0,0,0,1
1000,15,August,26,0,1,0,0,0,1,0,1
1000,30,March,26,0,7,0,0,0,1,0,1
1000,30,August,29,0,1,0,1,0,0,0,1
800,15,April,39,0,0,1,0,0,0,0,1
1000,15,June,34,0,6,1,0,0,0,0,1
1000,30,June,31,0,6,0,0,0,1,0,1
1000,30,November,33,0,9,0,0,0,1,0,1
800,15,February,33,0,3,0,1,0,0,0,1
1000,30,March,37,0,7,0,0,0,1,0,1
1000,30,May,27,0,8,0,0,0,1,0,1
1000,30,October,37,0,10,0,0,0,1,0,1
800,15,January,33,0,4,0,0,0,1,0,1
800,15,January,29,0,4,1,0,0,0,0,1
1000,30,July,27,0,5,0,1,0,0,0,1
700,15,September,33,0,11,0,1,0,0,0,1
1000,15,May,24,0,8,0,0,0,1,0,1
1000,30,February,21,0,3,1,0,0,0,0,1
1000,15,September,32,0,11,0,0,0,1,1,0
800,15,February,30,0,3,0,0,0,1,0,1
1000,7,January,31,0,4,1,0,0,0,0,1
1000,15,October,30,0,10,0,0,0,1,0,1
1000,15,July,24,0,5,1,0,0,0,1,0
800,7,July,35,0,5,0,1,0,0,0,1
1000,30,July,22,0,5,0,1,0,0,0,1
1000,30,July,32,0,5,0,0,0,1,0,1
1000,30,September,32,0,11,1,0,0,0,0,1
800,15,February,50,0,3,0,1,0,0,0,1
800,15,December,27,0,2,0,0,0,1,1,0
1000,30,July,35,0,5,1,0,0,0,1,0
800,15,November,35,0,9,1,0,0,0,1,0
1000,30,January,34,0,4,0,1,0,0,0,1
1000,30,October,21,0,10,0,1,0,0,0,1
1000,15,July,25,0,5,0,0,0,1,0,1
1000,30,May,27,0,8,0,1,0,0,0,1
1000,30,May,26,0,8,1,0,0,0,0,1
800,15,December,44,0,2,0,1,0,0,1,0
800,15,January,39,0,4,0,0,1,0,0,1
1000,30,December,34,0,2,1,0,0,0,0,1
1000,15,September,37,0,11,0,0,0,1,0,1
1000,30,January,34,0,4,0,1,0,0,0,1
1000,30,April,45,0,0,0,0,0,1,0,1
800,15,March,24,0,7,0,1,0,0,0,1
900,15,February,28,0,3,0,0,0,1,0,1
1000,30,July,28,0,5,1,0,0,0,0,1
1000,30,September,37,0,11,0,1,0,0,0,1
300,7,December,35,0,2,0,0,0,1,0,1
1000,30,November,43,0,9,1,0,0,0,0,1
800,15,April,29,0,0,0,0,0,1,0,1
800,15,July,29,0,5,0,1,0,0,0,1
1000,30,August,33,0,1,1,0,0,0,1,0
1000,15,April,34,0,0,0,0,0,1,0,1
1000,15,July,25,0,5,0,0,0,1,0,1
1000,30,April,30,0,0,0,1,0,0,0,1
1000,30,February,31,0,3,1,0,0,0,0,1
1000,30,December,35,0,2,0,0,0,1,0,1
1000,30,November,37,0,9,0,0,0,1,1,0
1000,30,June,44,0,6,0,1,0,0,1,0
1000,30,July,28,0,5,0,1,0,0,0,1
1000,7,September,25,0,11,0,0,0,1,0,1
1000,15,November,29,0,9,0,0,0,1,0,1
800,15,November,33,0,9,0,0,0,1,0,1
1000,30,April,37,0,0,0,1,0,0,1,0
1000,30,February,33,0,3,0,0,0,1,0,1
1000,30,November,24,0,9,0,1,0,0,1,0
1000,30,May,27,0,8,0,0,0,1,1,0
800,15,May,43,0,8,1,0,0,0,0,1
800,15,August,46,0,1,0,1,0,0,1,0
800,15,December,34,0,2,0,0,0,1,1,0
1000,7,August,32,0,1,1,0,0,0,1,0
800,15,March,38,0,7,0,1,0,0,0,1
800,15,December,27,0,2,0,1,0,0,0,1
1000,30,December,33,0,2,0,1,0,0,0,1
1000,30,July,36,0,5,0,0,0,1,0,1
1000,15,November,26,0,9,0,1,0,0,0,1
1000,30,February,34,0,3,0,0,0,1,0,1
1000,30,January,22,0,4,0,1,0,0,0,1
1000,30,June,31,0,6,1,0,0,0,1,0
1000,7,June,29,0,6,0,1,0,0,0,1
800,15,November,38,0,9,0,0,0,1,0,1
1000,30,August,30,0,1,0,0,0,1,0,1
1000,15,October,45,0,10,0,1,0,0,0,1
1000,15,February,35,0,3,0,0,0,1,0,1
1000,30,June,30,0,6,0,0,0,1,0,1
1000,30,September,31,0,11,0,1,0,0,0,1
1000,30,September,31,0,11,0,1,0,0,0,1
1000,30,July,28,0,5,0,0,0,1,0,1
1000,7,July,29,0,5,0,0,0,1,0,1
800,15,August,29,0,1,0,0,0,1,0,1
1000,30,January,27,0,4,0,0,0,1,1,0
1000,30,May,27,0,8,0,0,0,1,0,1
1000,30,August,33,0,1,0,0,0,1,0,1
1000,30,November,28,0,9,0,0,0,1,0,1
1000,15,July,25,0,5,0,1,0,0,0,1
1000,30,March,40,0,7,0,0,0,1,0,1
1000,30,October,23,0,10,0,1,0,0,0,1
1000,30,May,35,0,8,1,0,0,0,0,1
800,15,June,24,0,6,0,0,0,1,0,1
1000,30,April,34,0,0,0,0,0,1,0,1
1000,30,January,22,0,4,0,1,0,0,0,1
1000,15,June,20,0,6,0,0,0,1,0,1
1000,15,November,23,0,9,0,0,0,1,0,1
1000,30,July,33,0,5,0,0,0,1,0,1
1000,30,August,26,0,1,0,0,0,1,0,1
1000,15,March,28,0,7,0,1,0,0,0,1
800,15,October,43,0,10,0,1,0,0,0,1
1000,15,October,34,0,10,1,0,0,0,0,1
1000,30,June,38,0,6,1,0,0,0,0,1
1000,15,June,26,0,6,0,1,0,0,0,1
800,15,January,43,0,4,0,1,0,0,0,1
1000,30,September,26,0,11,0,1,0,0,0,1
1000,30,May,33,0,8,0,0,0,1,1,0
800,15,January,24,0,4,0,0,0,1,0,1
1000,30,July,30,0,5,0,1,0,0,0,1
800,15,November,32,0,9,0,1,0,0,1,0
1000,15,November,22,0,9,0,0,0,1,0,1
1000,15,April,47,0,0,0,1,0,0,0,1
1000,30,March,20,0,7,0,1,0,0,0,1
1000,30,May,28,0,8,0,1,0,0,0,1
800,15,July,35,0,5,0,0,0,1,0,1
1000,7,January,27,0,4,0,1,0,0,0,1
800,15,January,33,0,4,0,0,0,1,1,0
1000,30,November,30,0,9,0,1,0,0,0,1
1000,15,June,31,0,6,0,0,0,1,0,1
1000,30,October,26,0,10,0,0,0,1,1,0
300,7,November,37,0,9,0,0,1,0,0,1
1000,15,October,26,0,10,1,0,0,0,0,1
800,15,August,35,0,1,1,0,0,0,0,1
1000,15,March,29,0,7,0,0,0,1,0,1
800,15,December,23,0,2,0,0,0,1,0,1
500,15,June,23,0,6,0,0,0,1,1,0
1000,15,June,30,0,6,0,0,0,1,0,1
1000,30,October,34,0,10,0,0,0,1,0,1
1000,30,August,36,0,1,0,1,0,0,1,0
1000,15,August,26,0,1,1,0,0,0,0,1
800,15,December,29,0,2,0,1,0,0,0,1
1000,15,October,28,0,10,0,0,0,1,1,0
1000,30,December,27,0,2,0,1,0,0,0,1
1000,15,May,24,0,8,0,1,0,0,0,1
800,15,April,31,0,0,1,0,0,0,0,1
1000,30,April,28,0,0,0,1,0,0,0,1
1000,15,May,27,0,8,0,0,0,1,1,0
1000,15,March,25,0,7,0,1,0,0,0,1
1000,30,November,24,0,9,0,1,0,0,0,1
1000,30,September,28,0,11,0,0,0,1,0,1
800,30,July,28,0,5,0,0,0,1,0,1
1000,15,May,35,0,8,0,1,0,0,0,1
1000,30,December,38,0,2,0,0,0,1,0,1
1000,15,December,38,0,2,0,1,0,0,0,1
1000,30,June,29,0,6,0,0,0,1,0,1
800,15,October,35,0,10,0,1,0,0,0,1
1000,30,February,24,0,3,0,0,0,1,0,1
800,15,January,39,0,4,0,1,0,0,0,1
800,15,July,25,0,5,0,0,0,1,0,1
1000,30,July,38,0,5,0,1,0,0,0,1
1000,30,August,30,0,1,0,0,0,1,0,1
1000,30,October,21,0,10,0,1,0,0,0,1
1000,30,October,46,0,10,0,0,0,1,0,1
1000,15,October,31,0,10,0,1,0,0,1,0
300,7,October,29,0,10,0,1,0,0,0,1
1000,30,April,35,0,0,0,1,0,0,0,1
800,15,February,30,0,3,0,1,0,0,0,1
1000,30,July,27,0,5,0,1,0,0,0,1
1000,30,July,31,0,5,0,1,0,0,1,0
1000,30,February,33,0,3,1,0,0,0,0,1
1000,15,October,34,0,10,0,1,0,0,0,1
800,15,April,28,0,0,0,0,0,1,0,1
800,15,June,42,0,6,0,0,0,1,0,1
1000,30,February,32,0,3,0,0,0,1,0,1
1000,30,March,30,0,7,0,1,0,0,0,1
1000,15,March,25,0,7,0,1,0,0,1,0
1000,30,August,27,0,1,0,1,0,0,1,0
800,15,August,21,0,1,0,0,0,1,0,1
1000,30,December,24,0,2,0,0,0,1,0,1
1000,30,November,29,0,9,0,0,0,1,0,1
1000,15,August,40,0,1,0,0,0,1,0,1
1000,30,March,29,0,7,0,1,0,0,0,1
1000,30,July,29,0,5,0,0,0,1,0,1
1000,15,May,30,0,8,0,0,0,1,0,1
1000,30,March,26,0,7,0,1,0,0,1,0
1000,15,March,36,0,7,0,1,0,0,0,1
800,15,May,27,0,8,0,0,0,1,0,1
1000,30,August,20,0,1,0,0,0,1,0,1
1000,7,November,26,0,9,1,0,0,0,1,0
1000,30,April,26,0,0,0,0,0,1,0,1
1000,30,August,27,0,1,0,0,0,1,0,1
300,7,December,23,0,2,0,1,0,0,0,1
1000,30,December,39,0,2,0,1,0,0,0,1
1000,15,June,27,0,6,0,1,0,0,0,1
1000,30,June,30,0,6,0,1,0,0,0,1
1000,30,June,33,0,6,0,1,0,0,1,0
1000,30,January,27,0,4,0,1,0,0,0,1
1000,30,February,35,0,3,0,1,0,0,0,1
1000,30,January,29,0,4,0,0,0,1,1,0
1000,15,October,50,0,10,0,1,0,0,0,1
800,15,November,31,0,9,0,1,0,0,1,0
1000,15,February,31,0,3,0,1,0,0,0,1
1000,30,June,29,0,6,0,1,0,0,0,1
1000,15,July,35,0,5,0,0,0,1,0,1
1000,30,January,39,0,4,0,0,0,1,0,1
1000,30,December,29,0,2,0,0,0,1,0,1
1000,15,February,30,0,3,0,1,0,0,0,1
1000,30,July,33,0,5,1,0,0,0,0,1
1000,30,January,26,0,4,0,1,0,0,0,1
1000,15,September,25,0,11,0,1,0,0,0,1
800,15,May,37,0,8,1,0,0,0,0,1
800,15,February,26,0,3,0,1,0,0,0,1
800,15,January,26,0,4,0,0,0,1,0,1
1000,15,September,27,0,11,0,0,0,1,0,1
1000,7,November,34,0,9,0,0,0,1,1,0
1000,30,December,37,0,2,0,0,0,1,0,1
1000,30,March,36,0,7,0,1,0,0,0,1
800,15,March,33,0,7,0,1,0,0,0,1
1000,30,October,30,0,10,0,1,0,0,0,1
1000,30,January,30,0,4,0,0,0,1,0,1
800,15,August,36,0,1,0,1,0,0,0,1
1000,15,April,29,0,0,0,0,0,1,0,1
1000,15,February,36,0,3,0,1,0,0,0,1
1000,30,February,32,0,3,0,1,0,0,0,1
1000,15,July,29,0,5,0,1,0,0,1,0
800,15,May,36,0,8,1,0,0,0,0,1
800,15,February,30,0,3,0,1,0,0,1,0
1000,7,September,31,0,11,0,0,0,1,0,1
1000,30,June,19,0,6,0,1,0,0,1,0
800,15,July,26,0,5,0,0,0,1,0,1
800,15,January,34,0,4,0,1,0,0,0,1
1000,30,June,35,0,6,0,1,0,0,0,1
1000,15,November,35,0,9,1,0,0,0,1,0
800,15,July,38,0,5,0,0,0,1,0,1
1000,30,December,29,0,2,0,0,0,1,0,1
1000,30,January,28,0,4,0,1,0,0,0,1
500,7,May,22,0,8,0,1,0,0,0,1
1000,30,April,32,0,0,0,0,0,1,0,1
1000,30,September,31,0,11,0,0,0,1,0,1
800,15,October,28,0,10,0,0,0,1,0,1
1000,15,September,37,0,11,0,0,0,1,1,0
1000,7,June,25,0,6,0,0,0,1,0,1
1000,30,January,19,0,4,0,1,0,0,0,1
800,15,March,51,0,7,0,0,0,1,0,1
1000,15,January,29,0,4,0,1,0,0,0,1
800,30,March,23,0,7,0,0,0,1,1,0
1000,15,August,30,0,1,0,1,0,0,0,1
800,15,September,23,0,11,0,0,0,1,0,1
1000,15,November,34,0,9,1,0,0,0,1,0
800,15,October,31,0,10,1,0,0,0,1,0
1000,15,April,24,0,0,0,1,0,0,0,1
1000,30,April,42,0,0,0,1,0,0,0,1
800,30,August,40,0,1,0,0,0,1,1,0
1000,30,January,29,0,4,0,1,0,0,0,1
1000,30,December,32,0,2,0,0,0,1,1,0
1000,30,September,28,0,11,0,0,0,1,0,1
1000,30,November,35,0,9,0,1,0,0,0,1
1000,30,May,30,0,8,1,0,0,0,0,1
800,15,August,44,0,1,0,0,0,1,0,1
800,15,July,37,0,5,0,1,0,0,0,1
1000,30,December,31,0,2,0,0,0,1,0,1
800,15,January,36,0,4,0,0,0,1,0,1
800,30,February,31,0,3,0,0,0,1,0,1
800,15,June,42,0,6,0,1,0,0,0,1
1000,15,March,28,0,7,1,0,0,0,0,1
1000,30,December,30,0,2,0,0,0,1,0,1
1000,30,September,30,0,11,0,1,0,0,0,1
1000,15,August,24,0,1,1,0,0,0,0,1
1000,30,October,34,0,10,1,0,0,0,0,1
1000,30,March,29,0,7,0,0,0,1,0,1
1000,30,May,38,0,8,0,1,0,0,1,0
1000,30,May,34,0,8,1,0,0,0,0,1
800,15,April,28,0,0,0,1,0,0,0,1
1000,15,October,30,0,10,0,0,0,1,1,0
1000,30,February,41,0,3,0,1,0,0,0,1
1000,30,July,29,0,5,0,0,0,1,0,1
1000,30,May,37,0,8,0,1,0,0,0,1
1000,30,February,36,0,3,1,0,0,0,0,1
1000,30,December,30,0,2,0,0,0,1,1,0
800,15,April,27,0,0,0,0,0,1,0,1
1000,30,May,29,0,8,0,1,0,0,0,1
1000,30,May,40,0,8,0,1,0,0,0,1
1000,30,February,28,0,3,0,0,0,1,0,1
1000,15,September,29,1,11,0,0,0,1,0,1
1000,30,October,37,1,10,0,1,0,0,0,1
1000,30,June,33,1,6,0,1,0,0,0,1
800,15,November,27,1,9,0,0,0,1,0,1
800,15,January,24,1,4,1,0,0,0,0,1
1000,15,May,31,1,8,0,1,0,0,1,0
800,15,November,28,1,9,0,0,0,1,0,1
1000,30,April,40,1,0,0,1,0,0,0,1
1000,30,July,33,1,5,0,0,0,1,0,1
800,15,October,41,1,10,0,0,0,1,0,1
1000,30,May,30,1,8,0,0,0,1,0,1
800,15,July,26,1,5,0,1,0,0,1,0
1000,30,February,27,1,3,0,1,0,0,0,1
1000,30,November,20,1,9,0,1,0,0,0,1
1000,30,December,24,1,2,0,0,0,1,0,1
1000,15,July,26,1,5,0,1,0,0,0,1
1000,30,April,30,1,0,0,1,0,0,0,1
1000,15,May,29,1,8,0,1,0,0,0,1
1000,30,November,22,1,9,1,0,0,0,0,1
1000,15,December,24,1,2,1,0,0,0,0,1
1000,30,May,25,1,8,0,0,0,1,0,1
1000,30,January,28,1,4,0,1,0,0,0,1
1000,30,November,37,1,9,0,0,0,1,0,1
800,15,December,32,1,2,0,0,0,1,0,1
1000,15,July,34,1,5,0,0,0,1,0,1
1000,30,September,28,1,11,1,0,0,0,0,1
800,15,August,35,1,1,1,0,0,0,0,1
1000,30,June,27,1,6,0,0,0,1,0,1
1000,30,April,24,1,0,0,1,0,0,1,0
1000,30,September,44,1,11,1,0,0,0,0,1
1000,15,December,31,1,2,0,0,0,1,0,1
800,15,April,27,1,0,0,0,0,1,0,1
1000,30,February,21,1,3,0,1,0,0,0,1
1000,30,April,30,1,0,0,1,0,0,1,0
1000,30,May,38,1,8,0,0,0,1,1,0
1000,30,January,34,1,4,0,1,0,0,0,1
1000,30,March,31,1,7,0,0,0,1,0,1
1000,30,October,23,1,10,0,1,0,0,0,1
1000,15,March,27,1,7,0,0,0,1,1,0
1000,15,June,39,1,6,0,1,0,0,0,1
1000,30,June,30,1,6,0,1,0,0,1,0
1000,30,December,25,1,2,0,0,0,1,0,1
1000,15,December,50,1,2,0,0,1,0,0,1
1000,30,July,23,1,5,0,1,0,0,0,1
800,15,September,38,1,11,1,0,0,0,0,1
1000,30,March,27,1,7,0,1,0,0,0,1
1000,30,October,31,1,10,0,1,0,0,0,1
800,15,August,40,1,1,0,0,0,1,0,1
1000,30,August,32,1,1,0,1,0,0,0,1
800,15,April,29,1,0,0,0,0,1,0,1
1000,30,October,26,1,10,0,1,0,0,0,1
1000,15,April,25,1,0,0,0,0,1,0,1
1000,30,June,35,1,6,0,1,0,0,0,1
1000,30,July,41,1,5,0,1,0,0,0,1
1000,30,December,37,1,2,0,1,0,0,0,1
1000,15,February,34,1,3,0,0,0,1,0,1
1000,30,July,45,1,5,0,1,0,0,0,1
1000,30,October,26,1,10,1,0,0,0,0,1
1000,30,December,32,1,2,0,0,0,1,0,1
1000,30,July,28,1,5,0,1,0,0,0,1
1000,30,October,34,1,10,0,0,0,1,0,1
800,15,June,29,1,6,0,1,0,0,0,1
1000,30,August,26,1,1,0,1,0,0,0,1
1000,15,November,26,1,9,0,0,0,1,0,1
800,15,February,22,1,3,0,0,0,1,0,1
1000,30,January,27,1,4,0,1,0,0,1,0
800,30,January,33,1,4,0,1,0,0,0,1
800,15,August,28,1,1,1,0,0,0,0,1
1000,30,May,24,1,8,0,0,0,1,0,1
1000,30,August,37,1,1,0,1,0,0,0,1
800,15,August,36,1,1,0,1,0,0,0,1
1000,30,October,18,1,10,0,0,0,1,0,1
800,15,April,25,1,0,0,1,0,0,0,1
1000,15,August,40,1,1,0,1,0,0,0,1
1000,30,October,29,1,10,0,0,0,1,0,1
800,15,December,26,1,2,0,1,0,0,1,0
1000,15,December,30,1,2,0,0,0,1,0,1
1000,30,October,33,1,10,0,0,0,1,0,1
1000,30,November,30,1,9,0,0,0,1,0,1
1000,30,May,32,1,8,0,0,0,1,0,1
1000,30,August,25,1,1,0,1,0,0,0,1
800,15,November,35,1,9,0,1,0,0,0,1
1000,15,December,30,1,2,1,0,0,0,0,1
1000,30,April,26,1,0,0,1,0,0,0,1
1000,30,January,29,1,4,0,1,0,0,0,1
1000,30,March,26,1,7,0,1,0,0,0,1
800,15,October,46,1,10,0,1,0,0,0,1
1000,30,July,36,1,5,0,1,0,0,0,1
1000,15,September,38,1,11,1,0,0,0,0,1
1000,15,June,32,1,6,0,1,0,0,0,1
1000,15,January,30,1,4,0,0,0,1,0,1
800,15,January,35,1,4,0,1,0,0,0,1
1000,30,July,29,1,5,0,0,0,1,1,0
1000,30,January,26,1,4,0,0,0,1,0,1
800,15,June,32,1,6,0,1,0,0,0,1
1000,30,August,25,1,1,0,1,0,0,0,1
1000,30,July,33,1,5,0,1,0,0,0,1
800,15,April,39,1,0,0,0,0,1,0,1
1000,30,November,28,1,9,0,0,0,1,0,1
1000,30,October,26,1,10,0,0,0,1,0,1
1000,30,December,26,1,2,0,0,0,1,0,1
1000,15,September,28,1,11,0,0,0,1,0,1
1000,30,March,39,1,7,0,0,0,1,0,1
1000,15,May,29,1,8,1,0,0,0,0,1
800,15,April,33,1,0,0,1,0,0,0,1
1000,30,January,27,1,4,0,0,0,1,0,1
800,15,June,34,1,6,0,0,0,1,0,1
1000,30,September,26,1,11,0,1,0,0,0,1
1000,30,November,28,1,9,0,1,0,0,0,1
1000,15,July,32,1,5,1,0,0,0,0,1
800,15,April,27,1,0,0,0,0,1,1,0
1000,30,March,21,1,7,0,0,0,1,0,1
800,15,June,39,1,6,0,0,0,1,0,1
1000,15,November,38,1,9,0,0,0,1,0,1
1000,30,March,36,1,7,0,1,0,0,1,0
800,15,March,33,1,7,0,0,0,1,0,1
1000,30,June,21,1,6,0,0,0,1,1,0
800,15,April,25,1,0,0,1,0,0,0,1
800,15,August,29,1,1,0,0,0,1,0,1
1000,30,October,33,1,10,0,1,0,0,0,1
1000,15,June,47,1,6,0,1,0,0,1,0
1000,30,November,33,1,9,0,0,0,1,0,1
800,15,December,23,1,2,0,1,0,0,0,1
1000,15,September,24,1,11,0,0,0,1,0,1
1000,30,July,27,1,5,0,1,0,0,0,1
1000,30,April,32,1,0,1,0,0,0,0,1
1000,30,June,33,1,6,0,0,0,1,0,1
1000,30,June,27,1,6,0,0,0,1,1,0
1000,30,August,35,1,1,0,1,0,0,0,1
500,15,February,37,1,3,1,0,0,0,0,1
800,15,January,28,1,4,1,0,0,0,0,1
1000,15,February,33,1,3,0,0,0,1,0,1
800,7,August,34,1,1,1,0,0,0,1,0
1000,30,July,29,1,5,0,0,0,1,0,1
1000,30,July,34,1,5,1,0,0,0,0,1
1000,30,August,29,1,1,1,0,0,0,0,1
1000,30,June,24,1,6,0,1,0,0,0,1
1000,30,June,34,1,6,0,1,0,0,0,1
1000,30,April,25,1,0,0,0,0,1,1,0
1000,30,June,24,1,6,0,0,0,1,0,1
1000,30,May,30,1,8,0,0,0,1,0,1
1000,15,April,28,1,0,0,0,0,1,0,1
1000,30,October,24,1,10,0,1,0,0,0,1
1000,30,July,26,1,5,0,0,0,1,1,0
1000,30,January,24,1,4,0,1,0,0,0,1
1000,15,June,29,1,6,0,0,0,1,0,1
1000,30,July,31,1,5,0,0,0,1,0,1
1000,30,February,26,1,3,0,0,0,1,0,1
1000,30,January,25,1,4,0,1,0,0,0,1
1000,30,September,29,1,11,0,0,0,1,0,1
1000,30,October,38,1,10,0,0,0,1,0,1
800,15,August,41,1,1,0,0,0,1,0,1
1000,15,May,26,1,8,0,1,0,0,0,1
1000,30,July,26,1,5,0,1,0,0,0,1
1000,30,September,35,1,11,0,1,0,0,0,1
1000,15,September,37,1,11,0,0,0,1,0,1
1000,30,February,25,1,3,0,0,0,1,0,1
1000,30,October,24,1,10,0,0,0,1,0,1
1000,30,June,34,1,6,0,0,0,1,0,1
800,15,July,33,1,5,0,0,0,1,0,1
800,15,May,38,1,8,1,0,0,0,0,1
1000,30,June,38,1,6,0,1,0,0,0,1
1000,30,June,26,1,6,0,0,0,1,0,1
1000,15,May,37,1,8,1,0,0,0,0,1
1000,30,April,42,1,0,0,1,0,0,1,0
1000,30,October,49,1,10,0,1,0,0,1,0
1000,30,October,26,1,10,0,1,0,0,0,1
1000,15,February,41,1,3,0,1,0,0,0,1
1000,30,June,38,1,6,0,1,0,0,0,1
1000,30,September,26,1,11,0,1,0,0,0,1
1000,15,September,32,1,11,0,1,0,0,0,1
1000,30,January,27,1,4,1,0,0,0,0,1
800,15,October,33,1,10,0,0,0,1,0,1
1000,30,July,30,1,5,0,1,0,0,0,1
800,15,February,26,1,3,0,1,0,0,1,0
1000,30,July,35,1,5,0,0,0,1,1,0
800,15,March,46,1,7,0,0,0,1,1,0
1000,30,December,27,1,2,0,0,0,1,0,1
1000,15,March,22,1,7,0,1,0,0,0,1
1000,30,August,27,1,1,1,0,0,0,0,1
1000,15,October,30,1,10,1,0,0,0,0,1
1000,15,December,27,1,2,0,1,0,0,0,1
800,15,September,47,1,11,0,0,0,1,0,1
1000,30,February,30,1,3,0,0,0,1,0,1
1000,30,February,26,1,3,0,0,0,1,0,1
1000,30,September,38,1,11,0,1,0,0,0,1
800,15,March,46,1,7,0,1,0,0,0,1
1000,30,October,35,1,10,1,0,0,0,0,1
1000,15,April,45,1,0,0,0,0,1,0,1
1000,30,November,36,1,9,0,0,0,1,0,1
1000,30,August,38,1,1,0,1,0,0,0,1
1000,30,February,27,1,3,0,0,0,1,0,1
1000,30,September,27,1,11,1,0,0,0,0,1
1000,15,February,29,1,3,0,0,0,1,0,1
1000,30,September,30,1,11,0,1,0,0,0,1
1000,30,December,28,1,2,0,1,0,0,0,1
1000,15,July,26,1,5,0,1,0,0,0,1
800,15,June,30,1,6,0,0,0,1,0,1
1000,30,March,38,1,7,0,0,0,1,1,0
1000,30,March,28,1,7,0,1,0,0,0,1
